FIR coefficients:		32-bit int 
0.001972188432957 		001972788
0.008375503671394		008375504
0.005569489824185		005569490
-0.024844401595432		-024844402
-0.051545212701258		-051545213
0.011342654553162		011342655
0.189902400913616		189902401
0.359911715949602		359911716
0.359911715949602		359911716
0.189902400913616		189902401
0.011342654553162		011342655
-0.051545212701258		-051545213
-0.024844401595432		-024844402
0.005569489824185		005569490
0.008375503671394		008375504
0.001972188432957		001972788
